KO_ID	Category1
K01812	Other carbohydrate metabolism
K01835	Other carbohydrate metabolism
K01846	Other carbohydrate metabolism
K01847	Other carbohydrate metabolism
K01848	Other carbohydrate metabolism
K01849	Other carbohydrate metabolism
K01964	Other carbohydrate metabolism
K01965	Other carbohydrate metabolism
K01966	Other carbohydrate metabolism
K02437	Other carbohydrate metabolism
K03331	Other carbohydrate metabolism
K03781	Other carbohydrate metabolism
K04835	Other carbohydrate metabolism
K05351	Other carbohydrate metabolism
K05605	Other carbohydrate metabolism
K05606	Other carbohydrate metabolism
K06044	Other carbohydrate metabolism
K07511	Other carbohydrate metabolism
K07514	Other carbohydrate metabolism
K07515	Other carbohydrate metabolism
K07806	Other carbohydrate metabolism
K08323	Other carbohydrate metabolism
K08691	Other carbohydrate metabolism
K10011	Other carbohydrate metabolism
K10012	Other carbohydrate metabolism
K11263	Other carbohydrate metabolism
K11517	Other carbohydrate metabolism
K11942	Other carbohydrate metabolism
K12407	Other carbohydrate metabolism
K12447	Other carbohydrate metabolism
K12710	Other carbohydrate metabolism
K13014	Other carbohydrate metabolism
K13247	Other carbohydrate metabolism
K13307	Other carbohydrate metabolism
K13308	Other carbohydrate metabolism
K13309	Other carbohydrate metabolism
K13310	Other carbohydrate metabolism
K13311	Other carbohydrate metabolism
K13312	Other carbohydrate metabolism
K13313	Other carbohydrate metabolism
K13315	Other carbohydrate metabolism
K13316	Other carbohydrate metabolism
K13317	Other carbohydrate metabolism
K13318	Other carbohydrate metabolism
K13319	Other carbohydrate metabolism
K13322	Other carbohydrate metabolism
K13326	Other carbohydrate metabolism
K13327	Other carbohydrate metabolism
K13328	Other carbohydrate metabolism
K13329	Other carbohydrate metabolism
K13330	Other carbohydrate metabolism
K13332	Other carbohydrate metabolism
K14272	Other carbohydrate metabolism
K14446	Other carbohydrate metabolism
K14447	Other carbohydrate metabolism
K14448	Other carbohydrate metabolism
K14449	Other carbohydrate metabolism
K14451	Other carbohydrate metabolism
K14756	Other carbohydrate metabolism
K15036	Other carbohydrate metabolism
K15037	Other carbohydrate metabolism
K15893	Other carbohydrate metabolism
K15918	Other carbohydrate metabolism
K15919	Other carbohydrate metabolism
K16149	Other carbohydrate metabolism
K16190	Other carbohydrate metabolism
K16435	Other carbohydrate metabolism
K16436	Other carbohydrate metabolism
K16438	Other carbohydrate metabolism
K16849	Other carbohydrate metabolism
K16850	Other carbohydrate metabolism
K17463	Other carbohydrate metabolism
K17625	Other carbohydrate metabolism
K17865	Other carbohydrate metabolism
K18102	Other carbohydrate metabolism
K18103	Other carbohydrate metabolism
K18106	Other carbohydrate metabolism
K18107	Other carbohydrate metabolism
K18472	Other carbohydrate metabolism
K19268	Other carbohydrate metabolism
K19269	Other carbohydrate metabolism
K19280	Other carbohydrate metabolism
K19281	Other carbohydrate metabolism
K19282	Other carbohydrate metabolism
K19312	Other carbohydrate metabolism
K19634	Other carbohydrate metabolism
K19853	Other carbohydrate metabolism
K19854	Other carbohydrate metabolism
K19855	Other carbohydrate metabolism
K19856	Other carbohydrate metabolism
K19857	Other carbohydrate metabolism
K19858	Other carbohydrate metabolism
K19859	Other carbohydrate metabolism
K00019	Fatty acid metabolism
K00022	Fatty acid metabolism
K00059	Fatty acid metabolism
K00208	Fatty acid metabolism
K00209	Fatty acid metabolism
